DIRECT SWEEP 12x12, N=800, sundman HS  (anchor at sD=0.000 sA=0.075)
reference-guided: attempting only the 132 cells the reference run proved green
wave 0 restricted to 8 known cold-opener cells
WAVE 0: cold chord seed, full budget 1500, sublattice stride 2 (36 points)
DIRECT SWEEP 12x12, N=800, sundman HS  (anchor at sD=0.000 sA=0.075)
reference-guided: attempting only the 132 cells the reference run proved green
wave 0 restricted to 8 known cold-opener cells
WAVE 0: cold chord seed, full budget 1500, sublattice stride 2 (36 points)
  [w1] ( 1, 6) tf=3.98586 dV=0.7428 peris=  6599 vArr=0.744 glob=2.24km PASS (75s)
  [w1] (12, 9) tf=4.32426 dV=0.8088 peris= 16991 vArr=0.287 glob=2.31km PASS (7s)
  [w1] ( 1,10) tf=13.77467 dV=2.8863 peris=  9870 vArr=0.283 glob=668809.99km fail (328s)
  [w1] ( 1, 8) tf=57.38351 dV=8.9592 peris= -1737 vArr=0.603 glob=Infkm fail (336s)
  [w1] ( 7, 4) tf=4.64094 dV=0.8711 peris=   500 vArr=0.368 glob=7.96km PASS (106s)
  [w1] ( 6, 3) tf=16.83298 dV=2.9137 peris=  9029 vArr=0.429 glob=Infkm fail (265s)
  [w1] ( 4, 5) tf=5.09430 dV=0.9609 peris=  3993 vArr=0.207 glob=11.00km PASS (173s)
  [w1] ( 3,10) tf=22.69336 dV=5.2004 peris= 10428 vArr=0.283 glob=Infkm fail (244s)
  [w1] ( 8,11) tf=4.77108 dV=0.8968 peris=  8234 vArr=0.503 glob=85.91km PASS (120s)
  [w1] ( 7,12) tf=4.34571 dV=0.8130 peris=  5575 vArr=0.143 glob=1.82km PASS (16s)
  [w1] ( 7,10) tf=4.27396 dV=0.7990 peris=  1355 vArr=0.283 glob=2.65km PASS (24s)
  [w1] ( 2,11) tf=4.49909 dV=0.8431 peris=  5906 vArr=0.503 glob=29.38km PASS (9s)
  [w1] ( 3,12) tf=4.41207 dV=0.8260 peris=  5398 vArr=0.143 glob=3.46km PASS (19s)
  [w1] ( 3,10) tf=4.11452 dV=0.7678 peris=  5849 vArr=0.283 glob=4.95km PASS (26s)
  [w1] (12, 7) tf=5.38055 dV=1.0182 peris=  2580 vArr=0.156 glob=8.40km PASS (22s)
  [w1] (11, 8) tf=17.11496 dV=3.7557 peris=   500 vArr=0.603 glob=1636061.61km fail (117s)
  [w1] (11, 6) tf=13.46807 dV=2.8107 peris=  7920 vArr=0.744 glob=897921.00km fail (149s)
  [w1] (11, 6) tf=4.70962 dV=0.8846 peris=   801 vArr=0.744 glob=115.62km fail (57s)
  [w1] ( 9, 6) tf=4.77281 dV=0.8971 peris=  1019 vArr=0.744 glob=190.34km fail (78s)
  [w1] (10, 5) tf=17.92034 dV=3.9788 peris=   500 vArr=0.207 glob=1398912.21km fail (244s)
  [w1] ( 5, 3) tf=4.25949 dV=0.7961 peris=  7758 vArr=0.429 glob=20.69km PASS (29s)
  [w1] ( 4, 2) tf=5.93547 dV=1.1302 peris= 10559 vArr=0.201 glob=8.88km PASS (33s)
  [w1] ( 3, 5) tf=3.98146 dV=0.7419 peris=  4884 vArr=0.207 glob=1.60km PASS (23s)
  [w1] ( 9, 3) tf=4.05390 dV=0.7560 peris=  7106 vArr=0.429 glob=18.19km PASS (7s)
  [w1] (10, 4) tf=4.20518 dV=0.7855 peris=  6506 vArr=0.368 glob=26.74km PASS (156s)
  [w1] (10, 2) tf=5.72620 dV=1.0878 peris= 10611 vArr=0.201 glob=7.12km PASS (360s)
  [w1] (11, 5) tf=16.51454 dV=3.5930 peris=   500 vArr=0.207 glob=1029886.27km fail (174s)
  [w1] ( 2, 6) tf=4.70038 dV=0.8828 peris= 10575 vArr=0.744 glob=59.42km PASS (71s)
  [w1] (11, 5) tf=3.73086 dV=0.6933 peris=  6427 vArr=0.207 glob=0.78km PASS (11s)
  [w1] (12, 6) tf=4.00688 dV=0.7469 peris=  6718 vArr=0.744 glob=2.34km PASS (15s)
  [w1] ( 1, 7) tf=3.97337 dV=0.7403 peris=  5497 vArr=0.156 glob=1.27km PASS (40s)
  [w1] (11, 9) tf=4.38888 dV=0.8215 peris=  8898 vArr=0.287 glob=33.57km PASS (8s)
  [w1] (12,10) tf=53.79869 dV=26.4006 peris= -1717 vArr=0.283 glob=Infkm fail (340s)
  [w1] (12, 8) tf=18.90025 dV=4.2330 peris= -1737 vArr=0.603 glob=Infkm fail (239s)
  [w1] ( 8, 4) tf=22.65275 dV=4.9077 peris= -1737 vArr=0.368 glob=Infkm fail (325s)
  [w1] ( 7, 5) tf=50.07132 dV=9.7089 peris= -1737 vArr=0.207 glob=Infkm fail (358s)
  [w1] ( 7, 3) tf=10.05572 dV=1.6369 peris= -1735 vArr=0.429 glob=Infkm fail (246s)
  [w1] ( 4, 6) tf=12.28717 dV=2.4743 peris=   316 vArr=0.744 glob=Infkm fail (213s)
  [w1] ( 8,12) tf=70.53202 dV=3.1140 peris= 32728 vArr=0.143 glob=Infkm fail (213s)
  [w1] ( 8,10) tf=19.13577 dV=4.3265 peris=   500 vArr=0.283 glob=481594.36km fail (193s)
  [w1] ( 8,12) tf=4.33077 dV=0.8101 peris=  5540 vArr=0.143 glob=1.90km PASS (12s)
  [w1] ( 8,10) tf=4.50097 dV=0.8435 peris=  6665 vArr=0.283 glob=6.79km PASS (103s)
  [w1] ( 7, 9) tf=4.52446 dV=0.8481 peris=  3225 vArr=0.287 glob=36.99km PASS (19s)
  [w1] ( 2,12) tf=4.46470 dV=0.8364 peris=  5334 vArr=0.143 glob=4.28km PASS (18s)
  [w1] ( 2,10) tf=4.16779 dV=0.7782 peris=  6156 vArr=0.283 glob=5.46km PASS (22s)
  [w1] (12, 8) tf=16.50624 dV=3.5908 peris=  4108 vArr=0.603 glob=282196.65km fail (141s)
  [w1] ( 6, 3) tf=4.19925 dV=0.7844 peris=  7495 vArr=0.429 glob=20.34km PASS (45s)
  [w1] ( 5, 2) tf=5.88649 dV=1.1202 peris=  9868 vArr=0.201 glob=10.08km PASS (73s)
  [w1] ( 3, 6) tf=12.51049 dV=2.2420 peris=  1037 vArr=0.744 glob=Infkm fail (255s)
  [w1] ( 8, 3) tf=4.09583 dV=0.7642 peris=  7224 vArr=0.429 glob=19.79km PASS (13s)
  [w1] ( 9, 4) tf=4.45096 dV=0.8337 peris=  5197 vArr=0.368 glob=13.42km PASS (200s)
  [w1] ( 9, 2) tf=5.10433 dV=0.9629 peris=  7763 vArr=0.201 glob=72.75km PASS (133s)
  [w1] (10, 5) tf=4.26217 dV=0.7967 peris=  6567 vArr=0.207 glob=1.29km PASS (30s)
  [w1] ( 3, 6) tf=4.65072 dV=0.8730 peris= 10575 vArr=0.744 glob=49.47km PASS (8s)
  [w1] ( 2, 7) tf=15.92676 dV=3.4365 peris=   517 vArr=0.156 glob=235794.97km fail (211s)
  [w1] (11, 6) tf=4.26334 dV=0.7969 peris=  3511 vArr=0.744 glob=14.08km PASS (33s)
  [w1] ( 2, 7) tf=3.95327 dV=0.7364 peris=  5526 vArr=0.156 glob=0.81km PASS (10s)
  [w1] ( 1, 8) tf=13.74091 dV=2.8780 peris=   500 vArr=0.603 glob=905206.46km fail (220s)
  [w1] (10, 9) tf=4.34659 dV=0.8132 peris= 17198 vArr=0.287 glob=10.54km PASS (50s)
  [w1] (11,10) tf=4.30786 dV=0.8056 peris=  8031 vArr=0.283 glob=14.17km PASS (267s)
  [w1] (11, 8) tf=17.97410 dV=3.9191 peris=  3434 vArr=0.603 glob=Infkm fail (235s)
  [w1] ( 9,12) tf=4.30560 dV=0.8052 peris=  5476 vArr=0.143 glob=1.98km PASS (12s)
  [w1] ( 9,10) tf=3.95370 dV=0.7365 peris=  6419 vArr=0.283 glob=2.24km PASS (26s)
  [w1] ( 8, 9) tf=4.38764 dV=0.8212 peris=   797 vArr=0.287 glob=3.55km PASS (34s)
  [w1] ( 7, 8) tf=23.73964 dV=5.6248 peris=  6630 vArr=0.603 glob=Infkm fail (309s)
  [w1] ( 1,12) tf=4.53279 dV=0.8497 peris=  5260 vArr=0.143 glob=4.67km PASS (19s)
  [w1] ( 1,10) tf=4.23124 dV=0.7906 peris=  6318 vArr=0.283 glob=5.98km PASS (15s)
  [w1] ( 7, 3) tf=4.14466 dV=0.7737 peris=  7353 vArr=0.429 glob=20.33km PASS (210s)
  [w1] ( 6, 2) tf=11.67712 dV=1.4967 peris= 10353 vArr=0.201 glob=Infkm fail (328s)
  [w1] ( 6, 2) tf=4.62889 dV=0.8687 peris=   826 vArr=0.201 glob=6.81km PASS (19s)
  [w1] ( 8, 4) tf=4.27278 dV=0.7987 peris=  6604 vArr=0.368 glob=35.54km PASS (269s)
  [w1] ( 8, 2) tf=5.75165 dV=1.0929 peris=  9799 vArr=0.201 glob=8.85km PASS (170s)
  [w1] ( 9, 5) tf=43.08738 dV=13.7751 peris= -1735 vArr=0.207 glob=Infkm fail (222s)
  [w1] ( 9, 5) tf=4.28750 dV=0.8016 peris=  6414 vArr=0.207 glob=1.54km PASS (10s)
  [w1] ( 4, 6) tf=4.59750 dV=0.8625 peris= 10575 vArr=0.744 glob=56.82km PASS (5s)
  [w1] ( 3, 7) tf=38.34973 dV=13.1833 peris= 20314 vArr=0.156 glob=Infkm fail (211s)
  [w1] ( 3, 7) tf=3.92538 dV=0.7310 peris=  5537 vArr=0.156 glob=0.57km PASS (8s)
  [w1] ( 2, 8) tf=17.25517 dV=1.9559 peris= -1737 vArr=0.603 glob=Infkm fail (179s)
  [w1] ( 9, 9) tf=4.07998 dV=0.7611 peris= 17559 vArr=0.287 glob=8.90km PASS (11s)
  [w1] (10,10) tf=52.10422 dV=22.2603 peris= -1726 vArr=0.283 glob=Infkm fail (239s)
  [w1] (10, 8) tf=50.65182 dV=10.8199 peris= -1737 vArr=0.603 glob=Infkm fail (245s)
  [w1] (12,10) tf=4.26015 dV=0.7963 peris=  8015 vArr=0.283 glob=2.39km PASS (8s)
  [w1] (10,10) tf=4.36371 dV=0.8165 peris=  8016 vArr=0.283 glob=19.89km PASS (7s)
  [w1] (11,11) tf=15.55357 dV=3.3386 peris= 11519 vArr=0.503 glob=280244.54km fail (52s)
  [w1] (10,12) tf=4.26983 dV=0.7981 peris=  5403 vArr=0.143 glob=2.02km PASS (14s)
  [w1] ( 8, 8) tf=45.09145 dV=21.5556 peris=  1303 vArr=0.603 glob=Infkm fail (215s)
  [w1] (12,12) tf=4.60219 dV=0.8634 peris=  5195 vArr=0.143 glob=4.37km PASS (127s)
  [w1] ( 7, 2) tf=5.78548 dV=1.0998 peris=  9363 vArr=0.201 glob=10.31km PASS (70s)
  [w1] ( 8, 5) tf=4.33086 dV=0.8101 peris=  6276 vArr=0.207 glob=2.17km PASS (24s)
  [w1] ( 9, 6) tf=4.59054 dV=0.8611 peris=  7488 vArr=0.744 glob=13.00km PASS (20s)
  [w1] ( 5, 6) tf=4.55540 dV=0.8542 peris= 10575 vArr=0.744 glob=55.30km PASS (6s)
  [w1] ( 4, 7) tf=17.28709 dV=3.8029 peris=   500 vArr=0.156 glob=237095.62km fail (124s)
