  ( 6, 2) T=  5.0  tf=0.29169 (1.293 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T=  3.0  tf=0.38377 (1.701 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T=  2.0  tf=0.47566 (2.108 d)  fly=5.10km  acc=NaN  fail (2s)
  ( 6, 2) T=  1.5  tf=0.55284 (2.451 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  1.0  tf=0.68104 (3.019 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T= 15.0  tf=0.16318 (0.723 d)  fly=0.00km  acc=0.0e+00  OK (67s)
  ( 1, 3) T= 12.0  tf=0.18467 (0.819 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 3) T= 10.0  tf=0.20407 (0.905 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 3) T=  7.0  tf=0.24749 (1.097 d)  fly=3.66km  acc=NaN  fail (2s)
  ( 1, 3) T=  5.0  tf=0.29604 (1.312 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 3) T=  3.0  tf=0.38665 (1.714 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 3) T=  2.0  tf=0.47590 (2.110 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  1.5  tf=0.55013 (2.439 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  1.0  tf=0.67234 (2.980 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T= 15.0  tf=0.15882 (0.704 d)  fly=0.00km  acc=0.0e+00  OK (22s)
  ( 2, 3) T= 12.0  tf=0.17935 (0.795 d)  fly=1.47km  acc=NaN  fail (2s)
  ( 2, 3) T= 10.0  tf=0.19783 (0.877 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T=  7.0  tf=0.23894 (1.059 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T=  5.0  tf=0.28457 (1.261 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  3.0  tf=0.36881 (1.635 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 3) T=  2.0  tf=0.45083 (1.998 d)  fly=0.00km  acc=0.0e+00  OK (1s)
