THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
THRUST LADDER: 25 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (11 cells resumed/skipped)
  ( 6, 2) T= 15.0  tf=0.07415 (0.329 d)  fly=0.00km  acc=0.0e+00  OK (25s)
  ( 6, 2) T= 12.0  tf=0.08373 (0.371 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 6, 2) T= 10.0  tf=0.09256 (0.410 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  7.0  tf=0.11318 (0.502 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 6, 2) T=  5.0  tf=0.13816 (0.612 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  3.0  tf=0.19438 (0.862 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  2.0  tf=0.27476 (1.218 d)  fly=0.00km  acc=0.0e+00  OK (19s)
  ( 6, 2) T=  1.5  tf=0.38034 (1.686 d)  fly=0.00km  acc=0.0e+00  OK (31s)
  ( 6, 2) T=  1.0  tf=0.66817 (2.962 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 3) T= 15.0  tf=0.10028 (0.445 d)  fly=0.00km  acc=0.0e+00  OK (8s)
  ( 1, 3) T= 12.0  tf=0.11320 (0.502 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 3) T= 10.0  tf=0.12494 (0.554 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  7.0  tf=0.15154 (0.672 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 3) T=  5.0  tf=0.18211 (0.807 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 3) T=  3.0  tf=0.24243 (1.075 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 3) T=  2.0  tf=0.30537 (1.354 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 3) T=  1.5  direct fail (defect 1.3e-09) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 90 verified entries over 25 cells, 5.0 min
THRUST LADDER: 23 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (13 cells resumed/skipped)
  ( 2, 3) T= 15.0  direct fail (defect 3.7e+01) -- ladder stops
  ( 3, 3) T= 15.0  tf=0.32919 flown 689862.7 km > gate -- ladder stops
THRUST LADDER: 23 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (13 cells resumed/skipped)
  ( 2, 3) T= 15.0  direct fail (defect 3.7e+01) -- ladder stops
  ( 3, 3) T= 15.0  tf=0.32919 flown 689862.7 km > gate -- ladder stops
THRUST LADDER: 20 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (16 cells resumed/skipped)
  ( 5, 3) T= 15.0  tf=0.12094 (0.536 d)  fly=0.02km  acc=NaN  fail (155s)
  ( 5, 3) T= 12.0  tf=0.08629 (0.382 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 5, 3) T= 10.0  tf=0.09560 (0.424 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  7.0  tf=0.11734 (0.520 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T=  5.0  tf=0.14356 (0.636 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  3.0  tf=0.20107 (0.891 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  2.0  tf=0.27860 (1.235 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 3) T=  1.5  tf=0.37537 (1.664 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T=  1.0  tf=0.63938 (2.834 d)  fly=0.00km  acc=0.0e+00  OK (7s)
  ( 6, 3) T= 15.0  tf=0.09114 (0.404 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 6, 3) T= 12.0  tf=0.10367 (0.460 d)  fly=0.00km  acc=0.0e+00  OK (1s)
