  ( 4, 2) T=  1.5  tf=0.26888 (1.192 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 2) T=  1.0  rejected pre-flight (minAlt 3000 km, tf 4.2959) -- ladder stops
  ( 5, 2) T= 15.0  tf=0.09047 (0.401 d)  fly=0.63km  acc=NaN  fail (20s)
  ( 5, 2) T= 12.0  tf=0.10113 (0.448 d)  fly=0.44km  acc=NaN  fail (2s)
  ( 5, 2) T= 10.0  tf=0.11066 (0.491 d)  fly=0.35km  acc=NaN  fail (2s)
  ( 5, 2) T=  7.0  tf=0.13166 (0.584 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  5.0  tf=0.15471 (0.686 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  3.0  tf=0.19706 (0.874 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  2.0  tf=0.23918 (1.060 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 2) T=  1.5  tf=0.27637 (1.225 d)  fly=0.00km  acc=0.0e+00  OK (1s)
THRUST LADDER: 25 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (11 cells resumed/skipped)
  ( 6, 2) T= 15.0  tf=0.08440 (0.374 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 6, 2) T= 12.0  tf=0.09477 (0.420 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 6, 2) T= 10.0  tf=0.10417 (0.462 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T=  7.0  tf=0.12540 (0.556 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T=  5.0  tf=0.14968 (0.663 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  3.0  tf=0.19824 (0.879 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  2.0  tf=0.25494 (1.130 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 6, 2) T=  1.5  tf=0.31772 (1.408 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 2) T=  1.0  tf=0.51278 (2.273 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 3) T= 15.0  tf=0.10707 (0.475 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 1, 3) T= 12.0  tf=0.12098 (0.536 d)  fly=0.00km  acc=0.0e+00  OK (6s)
  ( 1, 3) T= 10.0  tf=0.13363 (0.592 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 3) T=  7.0  tf=0.16230 (0.719 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  5.0  tf=0.19527 (0.866 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  3.0  tf=0.26109 (1.157 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  2.0  tf=0.33316 (1.477 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  1.5  direct fail (defect 1.4e-10) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 102 verified entries over 25 cells, 4.1 min
THRUST LADDER: 23 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (13 cells resumed/skipped)
  ( 2, 3) T= 15.0  tf=0.11292 (0.501 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 2, 3) T= 12.0  tf=0.12678 (0.562 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T= 10.0  tf=0.13917 (0.617 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  7.0  tf=0.16646 (0.738 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  5.0  tf=0.19628 (0.870 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  3.0  tf=0.25028 (1.109 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  2.0  tf=0.30237 (1.340 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  1.5  tf=0.34625 (1.535 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  1.0  tf=0.42485 (1.883 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T= 15.0  tf=0.10432 (0.462 d)  fly=0.00km  acc=0.0e+00  OK (47s)
  ( 3, 3) T= 12.0  tf=0.11638 (0.516 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T= 10.0  tf=0.12705 (0.563 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  7.0  tf=0.15012 (0.665 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  5.0  tf=0.17465 (0.774 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  3.0  tf=0.21712 (0.962 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  2.0  tf=0.25550 (1.133 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  1.5  tf=0.28573 (1.267 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  1.0  tf=0.33551 (1.487 d)  fly=0.00km  acc=0.0e+00  OK (1s)
THRUST LADDER: 21 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (15 cells resumed/skipped)
THRUST LADDER: 20 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (16 cells resumed/skipped)
  ( 5, 3) T= 15.0  tf=0.15180 (0.673 d)  fly=0.28km  acc=NaN  fail (37s)
  ( 5, 3) T= 12.0  tf=0.10206 (0.452 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 5, 3) T= 10.0  tf=0.11298 (0.501 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 5, 3) T=  7.0  tf=0.13807 (0.612 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 3) T=  5.0  tf=0.16745 (0.742 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  3.0  tf=0.22756 (1.009 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  2.0  tf=0.29799 (1.321 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  1.5  tf=0.37234 (1.650 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 3) T=  1.0  tf=0.55539 (2.462 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T= 15.0  tf=0.13030 (0.578 d)  fly=0.03km  acc=NaN  fail (193s)
THRUST LADDER: 19 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (17 cells resumed/skipped)
  ( 6, 3) T= 15.0  tf=0.13030 (0.578 d)  fly=0.03km  acc=NaN  fail (192s)
THRUST LADDER: 18 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (18 cells resumed/skipped)
  ( 1, 4) T= 15.0  tf=0.11073 (0.491 d)  fly=0.00km  acc=0.0e+00  OK (23s)
  ( 1, 4) T= 12.0  tf=0.11984 (0.531 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 4) T= 10.0  tf=0.13140 (0.582 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 4) T=  7.0  tf=0.15677 (0.695 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 4) T=  5.0  tf=0.18437 (0.817 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 4) T=  3.0  tf=0.23403 (1.037 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 1, 4) T=  2.0  tf=0.28155 (1.248 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 4) T=  1.5  direct fail (defect 6.8e-09) -- ladder stops
  ( 2, 4) T= 15.0  tf=0.10379 (0.460 d)  fly=0.00km  acc=0.0e+00  OK (16s)
  ( 2, 4) T= 12.0  tf=0.11606 (0.514 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T= 10.0  tf=0.12698 (0.563 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  7.0  tf=0.15082 (0.669 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 4) T=  5.0  tf=0.17654 (0.783 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  3.0  tf=0.22204 (0.984 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  2.0  tf=0.26415 (1.171 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  1.5  tf=0.29768 (1.320 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 4) T=  1.0  tf=0.35199 (1.560 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 4) T= 15.0  tf=0.13353 (0.592 d)  fly=0.02km  acc=NaN  fail (47s)
  ( 3, 4) T= 12.0  tf=0.10188 (0.452 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 3, 4) T= 10.0  tf=0.11105 (0.492 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 4) T=  7.0  tf=0.13089 (0.580 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 4) T=  5.0  tf=0.15208 (0.674 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 4) T=  3.0  tf=0.18920 (0.839 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 4) T=  2.0  tf=0.22358 (0.991 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 4) T=  1.5  tf=0.25160 (1.115 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 4) T=  1.0  tf=0.30112 (1.335 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  [batch wall budget reached -- exiting cleanly after 3 cells]
THRUST LADDER DONE: 152 verified entries over 18 cells, 4.8 min
THRUST LADDER: 15 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (21 cells resumed/skipped)
  ( 4, 4) T= 15.0  tf=0.12964 (0.575 d)  fly=0.02km  acc=NaN  fail (45s)
  ( 4, 4) T= 12.0  tf=0.42052 flown 373164.7 km > gate -- ladder stops
  ( 5, 4) T= 15.0  tf=0.10572 (0.469 d)  fly=0.00km  acc=0.0e+00  OK (30s)
  ( 5, 4) T= 12.0  tf=0.12000 (0.532 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 4) T= 10.0  tf=0.13309 (0.590 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 4) T=  7.0  tf=0.16313 (0.723 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 5, 4) T=  5.0  tf=0.19811 (0.878 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 4) T=  3.0  tf=0.26908 (1.193 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 4) T=  2.0  tf=0.35179 (1.559 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 4) T=  1.5  tf=0.43837 (1.943 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 5, 4) T=  1.0  tf=0.63965 (2.835 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 4) T= 15.0  tf=0.11112 (0.493 d)  fly=0.00km  acc=0.0e+00  OK (27s)
  ( 6, 4) T= 12.0  tf=0.12549 (0.556 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 4) T= 10.0  tf=0.13853 (0.614 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 4) T=  7.0  tf=0.16801 (0.745 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 4) T=  5.0  tf=0.20178 (0.894 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 4) T=  3.0  tf=0.26972 (1.196 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 4) T=  2.0  tf=0.34974 (1.550 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 4) T=  1.5  tf=0.32632 (1.446 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 6, 4) T=  1.0  tf=0.38428 (1.703 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 5) T= 15.0  tf=0.09664 (0.428 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 1, 5) T= 12.0  tf=0.10773 (0.478 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T= 10.0  tf=0.11752 (0.521 d)  fly=0.00km  acc=0.0e+00  OK (1s)
