  ( 6, 2) T=  3.0  tf=0.26383 (1.169 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  2.0  tf=0.33385 (1.480 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  1.5  tf=0.39871 (1.767 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 2) T=  1.0  tf=0.52248 (2.316 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 3) T= 15.0  tf=0.10662 (0.473 d)  fly=0.00km  acc=0.0e+00  OK (6s)
  ( 1, 3) T= 12.0  tf=0.12052 (0.534 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T= 10.0  tf=0.13315 (0.590 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  7.0  tf=0.16170 (0.717 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  5.0  tf=0.19416 (0.861 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  3.0  tf=0.26632 (1.181 d)  fly=0.00km  acc=0.0e+00  OK (48s)
  ( 1, 3) T=  2.0  tf=0.33652 (1.492 d)  fly=0.00km  acc=0.0e+00  OK (10s)
  ( 1, 3) T=  1.5  tf=0.38360 (1.700 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 1, 3) T=  1.0  tf=0.49798 (2.207 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T= 15.0  tf=0.10944 (0.485 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 2, 3) T= 12.0  tf=0.12343 (0.547 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T= 10.0  tf=0.13609 (0.603 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  7.0  tf=0.16452 (0.729 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  5.0  tf=0.19656 (0.871 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  3.0  tf=0.25777 (1.143 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 3) T=  2.0  tf=0.32148 (1.425 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 2, 3) T=  1.5  tf=0.37895 (1.680 d)  fly=0.00km  acc=0.0e+00  OK (10s)
