THRUST LADDER: 36 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (0 cells resumed/skipped)
  ( 1, 1) T= 15.0  tf=0.14264 (0.632 d)  fly=0.00km  acc=0.0e+00  OK (12s)
  ( 1, 3) T= 12.0  tf=0.13659 (0.605 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 3) T= 10.0  tf=0.15048 (0.667 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  7.0  tf=0.18164 (0.805 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 3) T=  5.0  tf=0.21673 (0.961 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  3.0  tf=0.28351 (1.257 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  2.0  tf=0.35190 (1.560 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 3) T=  1.5  tf=0.41163 (1.825 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 3) T=  1.0  tf=0.51802 (2.296 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T= 15.0  tf=0.14840 (0.658 d)  fly=0.00km  acc=0.0e+00  OK (30s)
  ( 2, 3) T= 12.0  tf=0.16762 (0.743 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T= 10.0  tf=0.18497 (0.820 d)  fly=1.95km  acc=NaN  fail (2s)
  ( 2, 3) T=  7.0  tf=0.22374 (0.992 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T=  5.0  tf=0.26707 (1.184 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T=  3.0  tf=0.34814 (1.543 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T=  2.0  tf=0.42916 (1.902 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 3) T=  1.5  tf=0.49872 (2.211 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 3) T=  1.0  tf=0.62282 (2.761 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T= 15.0  tf=0.14981 (0.664 d)  fly=0.00km  acc=0.0e+00  OK (22s)
  ( 3, 3) T= 12.0  tf=0.16904 (0.749 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 3) T= 10.0  tf=0.18636 (0.826 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 3) T=  7.0  tf=0.22501 (0.997 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  5.0  tf=0.26817 (1.189 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 3) T=  3.0  tf=0.34976 (1.550 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  2.0  tf=0.43440 (1.926 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  1.5  tf=0.51199 (2.269 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 3) T=  1.0  tf=0.66654 (2.955 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T= 15.0  tf=0.14009 (0.621 d)  fly=0.00km  acc=0.0e+00  OK (36s)
  ( 4, 3) T= 12.0  tf=0.15853 (0.703 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T= 10.0  tf=0.17529 (0.777 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 4, 3) T=  7.0  tf=0.21322 (0.945 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  5.0  tf=0.25652 (1.137 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  3.0  tf=0.34119 (1.512 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  2.0  tf=0.43268 (1.918 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  1.5  tf=0.51870 (2.299 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 3) T=  1.0  tf=0.69083 (3.062 d)  fly=0.00km  acc=0.0e+00  OK (42s)
  [batch wall budget reached -- exiting cleanly after 5 cells]
THRUST LADDER DONE: 115 verified entries over 25 cells, 5.0 min
THRUST LADDER: 20 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (16 cells resumed/skipped)
  ( 5, 3) T= 15.0  direct fail (defect 1.9e-05) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 115 verified entries over 20 cells, 5.0 min
THRUST LADDER: 20 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (16 cells resumed/skipped)
  ( 5, 3) T= 15.0  direct fail (defect 2.2e-05) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 1 cells]
THRUST LADDER DONE: 115 verified entries over 20 cells, 5.0 min
THRUST LADDER: 19 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (17 cells resumed/skipped)
  ( 6, 3) T= 15.0  tf=0.12751 (0.565 d)  fly=0.00km  acc=0.0e+00  OK (36s)
  ( 6, 3) T= 12.0  tf=0.14357 (0.636 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 3) T= 10.0  tf=0.15803 (0.700 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  7.0  tf=0.19022 (0.843 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  5.0  tf=0.22603 (1.002 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  3.0  tf=0.29278 (1.298 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  2.0  tf=0.35951 (1.594 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  1.5  tf=0.41722 (1.849 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 6, 3) T=  1.0  tf=0.52293 (2.318 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 4) T= 15.0  tf=0.13084 (0.580 d)  fly=0.00km  acc=0.0e+00  OK (26s)
  ( 1, 4) T= 12.0  tf=0.14799 (0.656 d)  fly=0.00km  acc=NaN  fail (4s)
  ( 1, 4) T= 10.0  tf=0.16348 (0.725 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 1, 4) T=  7.0  tf=0.19818 (0.878 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 1, 4) T=  5.0  tf=0.23704 (1.051 d)  fly=0.00km  acc=NaN  fail (8s)
  ( 1, 4) T=  3.0  tf=0.31020 (1.375 d)  fly=0.00km  acc=NaN  fail (2s)
  ( 1, 4) T=  2.0  tf=0.38375 (1.701 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 1, 4) T=  1.5  direct fail (defect 1.0e-08) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 126 verified entries over 19 cells, 4.3 min
THRUST LADDER: 17 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (19 cells resumed/skipped)
  ( 2, 4) T= 15.0  tf=0.14447 (0.640 d)  fly=0.00km  acc=0.0e+00  OK (15s)
  ( 2, 4) T= 12.0  tf=0.16354 (0.725 d)  fly=0.00km  acc=0.0e+00  OK (13s)
  ( 2, 4) T= 10.0  tf=0.18081 (0.801 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 4) T=  7.0  tf=0.21957 (0.973 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 4) T=  5.0  tf=0.26316 (1.166 d)  fly=0.00km  acc=0.0e+00  OK (14s)
  ( 2, 4) T=  3.0  tf=0.34533 (1.531 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 2, 4) T=  2.0  tf=0.42768 (1.896 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 2, 4) T=  1.5  rejected pre-flight (minAlt 2561 km, tf 4.3278) -- ladder stops
  ( 3, 4) T= 15.0  tf=0.15647 (0.694 d)  fly=0.00km  acc=4.0e-12  OK (46s)
  ( 3, 4) T= 12.0  tf=0.17899 (0.793 d)  fly=0.00km  acc=4.5e-12  OK (3s)
  ( 3, 4) T= 10.0  tf=0.17688 (0.784 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 3, 4) T=  7.0  tf=0.21581 (0.957 d)  fly=0.00km  acc=0.0e+00  OK (5s)
  ( 3, 4) T=  5.0  tf=0.26039 (1.154 d)  fly=0.00km  acc=0.0e+00  OK (6s)
  ( 3, 4) T=  3.0  tf=0.34666 (1.537 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 3, 4) T=  2.0  tf=0.43612 (1.933 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 3, 4) T=  1.5  tf=0.51489 (2.282 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 3, 4) T=  1.0  tf=0.65614 (2.908 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 4, 4) T= 15.0  tf=0.13119 (0.582 d)  fly=0.00km  acc=0.0e+00  OK (64s)
  ( 4, 4) T= 12.0  tf=0.14981 (0.664 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 4, 4) T= 10.0  tf=0.16700 (0.740 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 4, 4) T=  7.0  tf=0.20652 (0.915 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 4, 4) T=  5.0  tf=0.25217 (1.118 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 4, 4) T=  3.0  tf=0.34060 (1.510 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 4, 4) T=  2.0  tf=0.43144 (1.912 d)  fly=0.00km  acc=0.0e+00  OK (16s)
  ( 4, 4) T=  1.5  tf=0.50995 (2.260 d)  fly=0.00km  acc=0.0e+00  OK (6s)
  ( 4, 4) T=  1.0  rejected pre-flight (minAlt 656 km, tf 5.1281) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 3 cells]
THRUST LADDER DONE: 147 verified entries over 17 cells, 5.1 min
THRUST LADDER: 14 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (22 cells resumed/skipped)
  ( 5, 4) T= 15.0  tf=0.12702 (0.563 d)  fly=0.00km  acc=0.0e+00  OK (43s)
  ( 5, 4) T= 12.0  tf=0.14257 (0.632 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 5, 4) T= 10.0  tf=0.15666 (0.694 d)  fly=0.00km  acc=NaN  fail (1s)
  ( 5, 4) T=  7.0  tf=0.18854 (0.836 d)  fly=0.00km  acc=NaN  fail (2s)
  ( 5, 4) T=  5.0  tf=0.22525 (0.998 d)  fly=0.00km  acc=NaN  fail (2s)
  ( 5, 4) T=  3.0  tf=0.29850 (1.323 d)  fly=0.00km  acc=NaN  fail (3s)
  ( 5, 4) T=  2.0  tf=0.37830 (1.677 d)  fly=0.00km  acc=0.0e+00  OK (9s)
  ( 5, 4) T=  1.5  tf=0.45062 (1.997 d)  fly=0.00km  acc=0.0e+00  OK (4s)
  ( 5, 4) T=  1.0  rejected pre-flight (minAlt 4335 km, tf 6.0859) -- ladder stops
  ( 6, 4) T= 15.0  tf=0.12619 (0.559 d)  fly=0.00km  acc=0.0e+00  OK (21s)
  ( 6, 4) T= 12.0  tf=0.14096 (0.625 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 4) T= 10.0  tf=0.15417 (0.683 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 4) T=  7.0  tf=0.18349 (0.813 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 6, 4) T=  5.0  tf=0.21631 (0.959 d)  fly=0.00km  acc=NaN  fail (2s)
  ( 6, 4) T=  3.0  tf=0.27925 (1.238 d)  fly=0.00km  acc=NaN  fail (4s)
  ( 6, 4) T=  2.0  direct fail (defect 5.1e-07) -- ladder stops
  [batch wall budget reached -- exiting cleanly after 2 cells]
THRUST LADDER DONE: 155 verified entries over 14 cells, 4.8 min
THRUST LADDER: 12 cells x 9 rungs [15           12           10            7            5            3            2          1.5            1] N, Isp=1710 s, m0=150 kg, N=400 (24 cells resumed/skipped)
  ( 1, 5) T= 15.0  tf=0.12362 (0.548 d)  fly=0.00km  acc=0.0e+00  OK (49s)
  ( 1, 5) T= 12.0  tf=0.13980 (0.620 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 1, 5) T= 10.0  tf=0.15452 (0.685 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  7.0  tf=0.18787 (0.833 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  5.0  tf=0.22595 (1.002 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  3.0  tf=0.29993 (1.329 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  2.0  tf=0.37803 (1.676 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  1.5  tf=0.44884 (1.990 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 1, 5) T=  1.0  tf=0.58464 (2.592 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T= 15.0  tf=0.13084 (0.580 d)  fly=0.00km  acc=0.0e+00  OK (17s)
  ( 2, 5) T= 12.0  tf=0.14777 (0.655 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 5) T= 10.0  tf=0.16308 (0.723 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 2, 5) T=  7.0  tf=0.19743 (0.875 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  5.0  tf=0.23602 (1.046 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  3.0  tf=0.30869 (1.368 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  2.0  tf=0.38167 (1.692 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  1.5  tf=0.44425 (1.969 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 2, 5) T=  1.0  tf=0.55522 (2.461 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T= 15.0  tf=0.13182 (0.584 d)  fly=0.00km  acc=0.0e+00  OK (76s)
  ( 3, 5) T= 12.0  tf=0.14820 (0.657 d)  fly=0.00km  acc=0.0e+00  OK (3s)
  ( 3, 5) T= 10.0  tf=0.16289 (0.722 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 5) T=  7.0  tf=0.19538 (0.866 d)  fly=0.00km  acc=0.0e+00  OK (2s)
  ( 3, 5) T=  5.0  tf=0.23116 (1.025 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  3.0  tf=0.29669 (1.315 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  2.0  tf=0.36026 (1.597 d)  fly=0.00km  acc=0.0e+00  OK (11s)
  ( 3, 5) T=  1.5  tf=0.41313 (1.831 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 3, 5) T=  1.0  tf=0.50290 (2.229 d)  fly=0.00km  acc=0.0e+00  OK (1s)
  ( 4, 5) T= 15.0  tf=0.13805 (0.612 d)  fly=0.00km  acc=0.0e+00  OK (30s)
